"","Well","Adjusted_Absorbance","Cell_Type","Dilution"
"95","D5",20959.0833333333,"Diseased",125000
"96","D6",16012.0833333333,"Diseased",62500
"97","D7",-1369.91666666667,"Diseased",31250
"98","D8",-1658.91666666667,"Diseased",15625
"99","D9",-2010.91666666667,"Diseased",7812.5
"100","D10",-1603.91666666667,"Diseased",3906.25
"101","E1",14816.0833333333,"Diseased",2e+06
"102","E2",7614.08333333333,"Diseased",1e+06
"103","E3",3207.08333333333,"Diseased",5e+05
"104","E4",868.083333333334,"Diseased",250000
"105","E5",3771.08333333333,"Diseased",125000
"106","E6",2072.08333333333,"Diseased",62500
"107","E7",1629.08333333333,"Diseased",31250
"108","E8",4090.08333333333,"Diseased",15625
"109","E9",1023.08333333333,"Diseased",7812.5
"110","E10",-3533.91666666667,"Diseased",3906.25
"111","F1",19418.0833333333,"Diseased",2e+06
"112","F2",8010.08333333333,"Diseased",1e+06
"113","F3",5390.08333333333,"Diseased",5e+05
"114","F4",661.083333333334,"Diseased",250000
"115","F5",393.083333333334,"Diseased",125000
"116","F6",1726.08333333333,"Diseased",62500
"117","F7",-1610.91666666667,"Diseased",31250
"118","F8",-979.916666666666,"Diseased",15625
"119","F9",1672.08333333333,"Diseased",7812.5
"120","F10",174.083333333334,"Diseased",3906.25
"121","A1",35658.75,"Healthy",2e+06
"122","A2",17114.75,"Healthy",1e+06
"123","A3",22095.75,"Healthy",5e+05
"124","A4",13147.75,"Healthy",250000
"125","A5",11010.75,"Healthy",125000
"126","A6",8675.75,"Healthy",62500
"127","A7",6259.75,"Healthy",31250
"128","A8",6386.75,"Healthy",15625
"129","A9",5384.75,"Healthy",7812.5
"130","A10",5195.75,"Healthy",3906.25
"131","B1",35392.75,"Healthy",2e+06
"132","B2",22097.75,"Healthy",1e+06
"133","B3",26546.75,"Healthy",5e+05
"134","B4",15074.75,"Healthy",250000
"135","B5",15088.75,"Healthy",125000
"136","B6",10323.75,"Healthy",62500
"137","B7",8127.75,"Healthy",31250
"138","B8",6282.75,"Healthy",15625
"139","B9",5903.75,"Healthy",7812.5
"140","B10",7167.75,"Healthy",3906.25
"141","C1",28458.75,"Healthy",2e+06
"142","C2",23477.75,"Healthy",1e+06
"143","C3",21074.75,"Healthy",5e+05
"144","C4",12062.75,"Healthy",250000
"145","C5",10529.75,"Healthy",125000
"146","C6",8056.75,"Healthy",62500
"147","C7",6374.75,"Healthy",31250
"148","C8",5650.75,"Healthy",15625
"149","C9",6058.75,"Healthy",7812.5
"150","C10",9102.75,"Healthy",3906.25
"151","D1",18665.75,"Diseased",2e+06
"152","D2",17408.75,"Diseased",1e+06
"153","D3",16964.75,"Diseased",5e+05
"154","D4",8648.75,"Diseased",250000
"155","D5",10873.75,"Diseased",125000
"156","D6",11779.75,"Diseased",62500
"157","D7",7201.75,"Diseased",31250
"158","D8",6774.75,"Diseased",15625
"159","D9",4378.75,"Diseased",7812.5
"160","D10",3093.75,"Diseased",3906.25
"161","E1",26314.75,"Diseased",2e+06
"162","E2",20009.75,"Diseased",1e+06
"163","E3",12692.75,"Diseased",5e+05
"164","E4",12258.75,"Diseased",250000
"165","E5",6229.75,"Diseased",125000
"166","E6",8420.75,"Diseased",62500
"167","E7",4040.75,"Diseased",31250
"168","E8",9021.75,"Diseased",15625
"169","E9",6242.75,"Diseased",7812.5
"170","E10",18156.75,"Diseased",3906.25
"171","F1",29968.75,"Diseased",2e+06
"172","F2",16878.75,"Diseased",1e+06
"173","F3",26378.75,"Diseased",5e+05
"174","F4",11941.75,"Diseased",250000
"175","F5",9150.75,"Diseased",125000
"176","F6",8883.75,"Diseased",62500
"177","F7",5747.75,"Diseased",31250
"178","F8",2677.75,"Diseased",15625
"179","F9",3573.75,"Diseased",7812.5
"180","F10",5472.75,"Diseased",3906.25
"181","A1",49177.4166666667,"Healthy",2e+06
"182","A2",37962.4166666667,"Healthy",1e+06
"183","A3",37807.4166666667,"Healthy",5e+05
"184","A4",42284.4166666667,"Healthy",250000
"185","A5",25875.4166666667,"Healthy",125000
"186","A6",19564.4166666667,"Healthy",62500
"187","A7",12653.4166666667,"Healthy",31250
"188","A8",8902.41666666667,"Healthy",15625
"189","A9",7319.41666666667,"Healthy",7812.5
"190","A10",5500.41666666667,"Healthy",3906.25
"191","B1",45067.4166666667,"Healthy",2e+06
"192","B2",31913.4166666667,"Healthy",1e+06
"193","B3",46343.4166666667,"Healthy",5e+05
"194","B4",35471.4166666667,"Healthy",250000
"195","B5",22815.4166666667,"Healthy",125000
"196","B6",17802.4166666667,"Healthy",62500
"197","B7",11871.4166666667,"Healthy",31250
"198","B8",7683.41666666667,"Healthy",15625
"199","B9",5571.41666666667,"Healthy",7812.5
"200","B10",5115.41666666667,"Healthy",3906.25
"201","C1",44727.4166666667,"Healthy",2e+06
"202","C2",28641.4166666667,"Healthy",1e+06
"203","C3",49110.4166666667,"Healthy",5e+05
"204","C4",32833.4166666667,"Healthy",250000
"205","C5",23267.4166666667,"Healthy",125000
"206","C6",18411.4166666667,"Healthy",62500
"207","C7",10463.4166666667,"Healthy",31250
"208","C8",7995.41666666667,"Healthy",15625
"209","C9",5562.41666666667,"Healthy",7812.5
"210","C10",3855.41666666667,"Healthy",3906.25
"211","D1",41645.4166666667,"Diseased",2e+06
"212","D2",19144.4166666667,"Diseased",1e+06
"213","D3",22436.4166666667,"Diseased",5e+05
"214","D4",26843.4166666667,"Diseased",250000
"215","D5",14704.4166666667,"Diseased",125000
"216","D6",6915.41666666667,"Diseased",62500
"217","D7",6507.41666666667,"Diseased",31250
"218","D8",1535.41666666667,"Diseased",15625
"219","D9",-344.583333333334,"Diseased",7812.5
"220","D10",1560.41666666667,"Diseased",3906.25
"221","E1",31871.4166666667,"Diseased",2e+06
"222","E2",18051.4166666667,"Diseased",1e+06
"223","E3",19964.4166666667,"Diseased",5e+05
"224","E4",21987.4166666667,"Diseased",250000
"225","E5",11994.4166666667,"Diseased",125000
"226","E6",11747.4166666667,"Diseased",62500
"227","E7",6161.41666666667,"Diseased",31250
"228","E8",3828.41666666667,"Diseased",15625
"229","E9",3545.41666666667,"Diseased",7812.5
"230","E10",508.416666666666,"Diseased",3906.25
"231","F1",33752.4166666667,"Diseased",2e+06
"232","F2",23696.4166666667,"Diseased",1e+06
"233","F3",23546.4166666667,"Diseased",5e+05
"234","F4",24103.4166666667,"Diseased",250000
"235","F5",18321.4166666667,"Diseased",125000
"236","F6",10081.4166666667,"Diseased",62500
"237","F7",5634.41666666667,"Diseased",31250
"238","F8",4220.41666666667,"Diseased",15625
"239","F9",2515.41666666667,"Diseased",7812.5
"240","F10",950.416666666666,"Diseased",3906.25
"241","A1",33252.6666666667,"Healthy",2e+06
"242","A2",42420.6666666667,"Healthy",1e+06
"243","A3",38824.6666666667,"Healthy",5e+05
"244","A4",30051.6666666667,"Healthy",250000
"245","A5",17943.6666666667,"Healthy",125000
"246","A6",11616.6666666667,"Healthy",62500
"247","A7",6477.66666666667,"Healthy",31250
"248","A8",4303.66666666667,"Healthy",15625
"249","A9",3941.66666666667,"Healthy",7812.5
"250","A10",3116.66666666667,"Healthy",3906.25
"251","B1",37029.6666666667,"Healthy",2e+06
"252","B2",24381.6666666667,"Healthy",1e+06
"253","B3",46896.6666666667,"Healthy",5e+05
"254","B4",23153.6666666667,"Healthy",250000
"255","B5",16291.6666666667,"Healthy",125000
"256","B6",9749.66666666667,"Healthy",62500
"257","B7",15445.6666666667,"Healthy",31250
"258","B8",3028.66666666667,"Healthy",15625
"259","B9",1835.66666666667,"Healthy",7812.5
"260","B10",2205.66666666667,"Healthy",3906.25
"261","C1",30003.6666666667,"Healthy",2e+06
"262","C2",20989.6666666667,"Healthy",1e+06
"263","C3",22398.6666666667,"Healthy",5e+05
"264","C4",17708.6666666667,"Healthy",250000
"265","C5",13055.6666666667,"Healthy",125000
"266","C6",7531.66666666667,"Healthy",62500
"267","C7",5544.66666666667,"Healthy",31250
"268","C8",2211.66666666667,"Healthy",15625
"269","C9",1935.66666666667,"Healthy",7812.5
"270","C10",2336.66666666667,"Healthy",3906.25
"271","D1",27534.6666666667,"Diseased",2e+06
"272","D2",13989.6666666667,"Diseased",1e+06
"273","D3",10106.6666666667,"Diseased",5e+05
"274","D4",8423.66666666667,"Diseased",250000
"275","D5",8093.66666666667,"Diseased",125000
"276","D6",3098.66666666667,"Diseased",62500
"277","D7",2837.66666666667,"Diseased",31250
"278","D8",-2162.33333333333,"Diseased",15625
"279","D9",-31.3333333333339,"Diseased",7812.5
"280","D10",-243.333333333334,"Diseased",3906.25
"281","E1",18295.6666666667,"Diseased",2e+06
"282","E2",17290.6666666667,"Diseased",1e+06
"283","E3",-9857.33333333333,"Diseased",5e+05
"284","E4",5337.66666666667,"Diseased",250000
"285","E5",7437.66666666667,"Diseased",125000
"286","E6",6572.66666666667,"Diseased",62500
"287","E7",904.666666666666,"Diseased",31250
"288","E8",381.666666666666,"Diseased",15625
"289","E9",155.666666666666,"Diseased",7812.5
"290","E10",-1042.33333333333,"Diseased",3906.25
"291","F1",19701.6666666667,"Diseased",2e+06
"292","F2",13056.6666666667,"Diseased",1e+06
"293","F3",13916.6666666667,"Diseased",5e+05
"294","F4",7696.66666666667,"Diseased",250000
"295","F5",12230.6666666667,"Diseased",125000
"296","F6",2499.66666666667,"Diseased",62500
"297","F7",2311.66666666667,"Diseased",31250
"298","F8",837.666666666666,"Diseased",15625
"299","F9",-1927.33333333333,"Diseased",7812.5
"300","F10",-2305.33333333333,"Diseased",3906.25
"301","A1",86024.75,"Healthy",2e+06
"302","A2",48297.75,"Healthy",1e+06
"303","A3",31686.75,"Healthy",5e+05
"304","A4",22362.75,"Healthy",250000
"305","A5",20517.75,"Healthy",125000
"306","A6",19698.75,"Healthy",62500
"307","A7",20201.75,"Healthy",31250
"308","A8",15431.75,"Healthy",15625
"309","A9",17257.75,"Healthy",7812.5
"310","A10",14953.75,"Healthy",3906.25
"311","B1",81690.75,"Healthy",2e+06
"312","B2",50344.75,"Healthy",1e+06
"313","B3",29179.75,"Healthy",5e+05
"314","B4",22000.75,"Healthy",250000
"315","B5",18081.75,"Healthy",125000
"316","B6",17505.75,"Healthy",62500
"317","B7",17674.75,"Healthy",31250
"318","B8",13164.75,"Healthy",15625
"319","B9",11264.75,"Healthy",7812.5
"320","B10",13470.75,"Healthy",3906.25
"321","C1",61889.75,"Healthy",2e+06
"322","C2",35206.75,"Healthy",1e+06
"323","C3",24139.75,"Healthy",5e+05
"324","C4",18281.75,"Healthy",250000
"325","C5",15369.75,"Healthy",125000
"326","C6",15497.75,"Healthy",62500
"327","C7",14734.75,"Healthy",31250
"328","C8",11907.75,"Healthy",15625
"329","C9",13271.75,"Healthy",7812.5
"330","C10",13100.75,"Healthy",3906.25
"331","D1",68470.75,"Diseased",2e+06
"332","D2",42315.75,"Diseased",1e+06
"333","D3",24880.75,"Diseased",5e+05
"334","D4",16599.75,"Diseased",250000
"335","D5",7820.75,"Diseased",125000
"336","D6",9540.75,"Diseased",62500
"337","D7",2117.75,"Diseased",31250
"338","D8",2644.75,"Diseased",15625
"339","D9",4236.75,"Diseased",7812.5
"340","D10",5631.75,"Diseased",3906.25
"341","E1",62576.75,"Diseased",2e+06
"342","E2",36537.75,"Diseased",1e+06
"343","E3",33463.75,"Diseased",5e+05
"344","E4",14966.75,"Diseased",250000
"345","E5",9712.75,"Diseased",125000
"346","E6",9736.75,"Diseased",62500
"347","E7",12279.75,"Diseased",31250
"348","E8",7955.75,"Diseased",15625
"349","E9",6443.75,"Diseased",7812.5
"350","E10",9818.75,"Diseased",3906.25
"351","F1",66282.75,"Diseased",2e+06
"352","F2",38128.75,"Diseased",1e+06
"353","F3",32328.75,"Diseased",5e+05
"354","F4",-15955.25,"Diseased",250000
"355","F5",14688.75,"Diseased",125000
"356","F6",21007.75,"Diseased",62500
"357","F7",18380.75,"Diseased",31250
"358","F8",10285.75,"Diseased",15625
"359","F9",8917.75,"Diseased",7812.5
"360","F10",7371.75,"Diseased",3906.25
"361","A1",52120.5,"Healthy",2e+06
"362","A2",41929.5,"Healthy",1e+06
"363","A3",37486.5,"Healthy",5e+05
"364","A4",20923.5,"Healthy",250000
"365","A5",10760.5,"Healthy",125000
"366","A6",7280.5,"Healthy",62500
"367","A7",3362.5,"Healthy",31250
"368","A8",591.5,"Healthy",15625
"369","A9",1110.5,"Healthy",7812.5
"370","A10",6159.5,"Healthy",3906.25
"371","B1",43756.5,"Healthy",2e+06
"372","B2",41667.5,"Healthy",1e+06
"373","B3",45503.5,"Healthy",5e+05
"374","B4",22991.5,"Healthy",250000
"375","B5",13447.5,"Healthy",125000
"376","B6",6595.5,"Healthy",62500
"377","B7",10470.5,"Healthy",31250
"378","B8",2948.5,"Healthy",15625
"379","B9",2906.5,"Healthy",7812.5
"380","B10",1695.5,"Healthy",3906.25
"381","C1",35033.5,"Healthy",2e+06
"382","C2",45122.5,"Healthy",1e+06
"383","C3",33479.5,"Healthy",5e+05
"384","C4",16846.5,"Healthy",250000
"385","C5",10252.5,"Healthy",125000
"386","C6",5450.5,"Healthy",62500
"387","C7",5174.5,"Healthy",31250
"388","C8",1043.5,"Healthy",15625
"389","C9",1374.5,"Healthy",7812.5
"390","C10",1974.5,"Healthy",3906.25
"391","D1",21786.5,"Diseased",2e+06
"392","D2",4850.5,"Diseased",1e+06
"393","D3",1623.5,"Diseased",5e+05
"394","D4",-3388.5,"Diseased",250000
"395","D5",-3689.5,"Diseased",125000
"396","D6",-6534.5,"Diseased",62500
"397","D7",-4556.5,"Diseased",31250
"398","D8",-7708.5,"Diseased",15625
"399","D9",-5428.5,"Diseased",7812.5
"400","D10",-4308.5,"Diseased",3906.25
"401","E1",29833.5,"Diseased",2e+06
"402","E2",3854.5,"Diseased",1e+06
"403","E3",-310.5,"Diseased",5e+05
"404","E4",-337.5,"Diseased",250000
"405","E5",-3461.5,"Diseased",125000
"406","E6",-6257.5,"Diseased",62500
"407","E7",-5010.5,"Diseased",31250
"408","E8",-5645.5,"Diseased",15625
"409","E9",-5671.5,"Diseased",7812.5
"410","E10",-4339.5,"Diseased",3906.25
"411","F1",18655.5,"Diseased",2e+06
"412","F2",17335.5,"Diseased",1e+06
"413","F3",14011.5,"Diseased",5e+05
"414","F4",5105.5,"Diseased",250000
"415","F5",-1055.5,"Diseased",125000
"416","F6",11057.5,"Diseased",62500
"417","F7",-4417.5,"Diseased",31250
"418","F8",-3192.5,"Diseased",15625
"419","F9",-9304.5,"Diseased",7812.5
"420","F10",-8811.5,"Diseased",3906.25
"421","A1",19237.5,"Healthy",2e+06
"422","A2",8734.5,"Healthy",1e+06
"423","A3",4153.5,"Healthy",5e+05
"424","A4",1486.5,"Healthy",250000
"425","A5",880.5,"Healthy",125000
"426","A6",309.5,"Healthy",62500
"427","A7",1124.5,"Healthy",31250
"428","A8",-2904.5,"Healthy",15625
"429","A9",-13432.5,"Healthy",7812.5
"430","A10",-3987.5,"Healthy",3906.25
"431","B1",41237.5,"Healthy",2e+06
"432","B2",19331.5,"Healthy",1e+06
"433","B3",10332.5,"Healthy",5e+05
"434","B4",3216.5,"Healthy",250000
"435","B5",6795.5,"Healthy",125000
"436","B6",2848.5,"Healthy",62500
"437","B7",-383.5,"Healthy",31250
"438","B8",-2438.5,"Healthy",15625
"439","B9",-13647.5,"Healthy",7812.5
"440","B10",-5188.5,"Healthy",3906.25
"441","C1",32395.5,"Healthy",2e+06
"442","C2",28498.5,"Healthy",1e+06
"443","C3",20286.5,"Healthy",5e+05
"444","C4",6503.5,"Healthy",250000
"445","C5",7958.5,"Healthy",125000
"446","C6",-211.5,"Healthy",62500
"447","C7",609.5,"Healthy",31250
"448","C8",-13879.5,"Healthy",15625
"449","C9",-3421.5,"Healthy",7812.5
"450","C10",-4496.5,"Healthy",3906.25
"451","D1",14730.5,"Diseased",2e+06
"452","D2",3942.5,"Diseased",1e+06
"453","D3",-1639.5,"Diseased",5e+05
"454","D4",-1144.5,"Diseased",250000
"455","D5",-5.5,"Diseased",125000
"456","D6",-2531.5,"Diseased",62500
"457","D7",-5090.5,"Diseased",31250
"458","D8",-14169.5,"Diseased",15625
"459","D9",-5433.5,"Diseased",7812.5
"460","D10",-8885.5,"Diseased",3906.25
"461","E1",13314.5,"Diseased",2e+06
"462","E2",6127.5,"Diseased",1e+06
"463","E3",-207.5,"Diseased",5e+05
"464","E4",53.5,"Diseased",250000
"465","E5",-344.5,"Diseased",125000
"466","E6",-6421.5,"Diseased",62500
"467","E7",-4701.5,"Diseased",31250
"468","E8",-15181.5,"Diseased",15625
"469","E9",-6060.5,"Diseased",7812.5
"470","E10",-5758.5,"Diseased",3906.25
"471","F1",16131.5,"Diseased",2e+06
"472","F2",4638.5,"Diseased",1e+06
"473","F3",218.5,"Diseased",5e+05
"474","F4",-1934.5,"Diseased",250000
"475","F5",620.5,"Diseased",125000
"476","F6",-5310.5,"Diseased",62500
"477","F7",-5847.5,"Diseased",31250
"478","F8",-15097.5,"Diseased",15625
"479","F9",-5027.5,"Diseased",7812.5
"480","F10",-4518.5,"Diseased",3906.25
"481","A1",54985.5,"Healthy",2e+06
"482","A2",30961.5,"Healthy",1e+06
"483","A3",22116.5,"Healthy",5e+05
"484","A4",17951.5,"Healthy",250000
"485","A5",14537.5,"Healthy",125000
"486","A6",13333.5,"Healthy",62500
"487","A7",10496.5,"Healthy",31250
"488","A8",10203.5,"Healthy",15625
"489","A9",10550.5,"Healthy",7812.5
"490","A10",10158.5,"Healthy",3906.25
"491","B1",57346.5,"Healthy",2e+06
"492","B2",35776.5,"Healthy",1e+06
"493","B3",31330.5,"Healthy",5e+05
"494","B4",23195.5,"Healthy",250000
"495","B5",16613.5,"Healthy",125000
"496","B6",13971.5,"Healthy",62500
"497","B7",11615.5,"Healthy",31250
"498","B8",11396.5,"Healthy",15625
"499","B9",10123.5,"Healthy",7812.5
"500","B10",9235.5,"Healthy",3906.25
"501","C1",55678.5,"Healthy",2e+06
"502","C2",38029.5,"Healthy",1e+06
"503","C3",27866.5,"Healthy",5e+05
"504","C4",18191.5,"Healthy",250000
"505","C5",13987.5,"Healthy",125000
"506","C6",12159.5,"Healthy",62500
"507","C7",8560.5,"Healthy",31250
"508","C8",7726.5,"Healthy",15625
"509","C9",8813.5,"Healthy",7812.5
"510","C10",8159.5,"Healthy",3906.25
"511","D1",32926.5,"Diseased",2e+06
"512","D2",22042.5,"Diseased",1e+06
"513","D3",22353.5,"Diseased",5e+05
"514","D4",6934.5,"Diseased",250000
"515","D5",13375.5,"Diseased",125000
"516","D6",8874.5,"Diseased",62500
"517","D7",8777.5,"Diseased",31250
"518","D8",2371.5,"Diseased",15625
"519","D9",7231.5,"Diseased",7812.5
"520","D10",3045.5,"Diseased",3906.25
"521","E1",34733.5,"Diseased",2e+06
"522","E2",18774.5,"Diseased",1e+06
"523","E3",12620.5,"Diseased",5e+05
"524","E4",10509.5,"Diseased",250000
"525","E5",9247.5,"Diseased",125000
"526","E6",10056.5,"Diseased",62500
"527","E7",8036.5,"Diseased",31250
"528","E8",2011.5,"Diseased",15625
"529","E9",3416.5,"Diseased",7812.5
"530","E10",7893.5,"Diseased",3906.25
"531","F1",37045.5,"Diseased",2e+06
"532","F2",22255.5,"Diseased",1e+06
"533","F3",17447.5,"Diseased",5e+05
"534","F4",14420.5,"Diseased",250000
"535","F5",4676.5,"Diseased",125000
"536","F6",4300.5,"Diseased",62500
"537","F7",11636.5,"Diseased",31250
"538","F8",6731.5,"Diseased",15625
"539","F9",7216.5,"Diseased",7812.5
"540","F10",4110.5,"Diseased",3906.25
"541","A1",56114,"Healthy",2e+06
"542","A2",65154,"Healthy",1e+06
"543","A3",55660,"Healthy",5e+05
"544","A4",53264,"Healthy",250000
"545","A5",32403,"Healthy",125000
"546","A6",19727,"Healthy",62500
"547","A7",24600,"Healthy",31250
"548","A8",11313,"Healthy",15625
"549","A9",12108,"Healthy",7812.5
"550","A10",8733,"Healthy",3906.25
"551","B1",57862,"Healthy",2e+06
"552","B2",34187,"Healthy",1e+06
"553","B3",46023,"Healthy",5e+05
"554","B4",27042,"Healthy",250000
"555","B5",29044,"Healthy",125000
"556","B6",26898,"Healthy",62500
"557","B7",17339,"Healthy",31250
"558","B8",12554,"Healthy",15625
"559","B9",9049,"Healthy",7812.5
"560","B10",5572,"Healthy",3906.25
"561","C1",70375,"Healthy",2e+06
"562","C2",55185,"Healthy",1e+06
"563","C3",92260,"Healthy",5e+05
"564","C4",63121,"Healthy",250000
"565","C5",31961,"Healthy",125000
"566","C6",27781,"Healthy",62500
"567","C7",18079,"Healthy",31250
"568","C8",10297,"Healthy",15625
"569","C9",7906,"Healthy",7812.5
"570","C10",7013,"Healthy",3906.25
"571","D1",30627,"Diseased",2e+06
"572","D2",25122,"Diseased",1e+06
"573","D3",18251,"Diseased",5e+05
"574","D4",12393,"Diseased",250000
"575","D5",8411,"Diseased",125000
"576","D6",2525,"Diseased",62500
"577","D7",247,"Diseased",31250
"578","D8",1290,"Diseased",15625
"579","D9",-1114,"Diseased",7812.5
"580","D10",-1601,"Diseased",3906.25
"581","E1",67611,"Diseased",2e+06
"582","E2",19649,"Diseased",1e+06
"583","E3",34421,"Diseased",5e+05
"584","E4",8558,"Diseased",250000
"585","E5",8786,"Diseased",125000
"586","E6",2838,"Diseased",62500
"587","E7",6457,"Diseased",31250
"588","E8",-1245,"Diseased",15625
"589","E9",2850,"Diseased",7812.5
"590","E10",-4243,"Diseased",3906.25
"591","F1",48048,"Diseased",2e+06
"592","F2",21429,"Diseased",1e+06
"593","F3",29681,"Diseased",5e+05
"594","F4",20000,"Diseased",250000
"595","F5",14361,"Diseased",125000
"596","F6",4523,"Diseased",62500
"597","F7",1876,"Diseased",31250
"598","F8",-744,"Diseased",15625
"599","F9",1676,"Diseased",7812.5
"600","F10",-2519,"Diseased",3906.25
"601","A1",30175.6666666667,"Healthy",2e+06
"602","A2",24330.6666666667,"Healthy",1e+06
"603","A3",17482.6666666667,"Healthy",5e+05
"604","A4",11203.6666666667,"Healthy",250000
"605","A5",5908.66666666667,"Healthy",125000
"606","A6",7822.66666666667,"Healthy",62500
"607","A7",4291.66666666667,"Healthy",31250
"608","A8",5318.66666666667,"Healthy",15625
"609","A9",3896.66666666667,"Healthy",7812.5
"610","A10",2688.66666666667,"Healthy",3906.25
"611","B1",23790.6666666667,"Healthy",2e+06
"612","B2",20146.6666666667,"Healthy",1e+06
"613","B3",13283.6666666667,"Healthy",5e+05
"614","B4",7918.66666666667,"Healthy",250000
"615","B5",5926.66666666667,"Healthy",125000
"616","B6",4338.66666666667,"Healthy",62500
"617","B7",3152.66666666667,"Healthy",31250
"618","B8",2818.66666666667,"Healthy",15625
"619","B9",3001.66666666667,"Healthy",7812.5
"620","B10",2493.66666666667,"Healthy",3906.25
"621","C1",29144.6666666667,"Healthy",2e+06
"622","C2",16198.6666666667,"Healthy",1e+06
"623","C3",10284.6666666667,"Healthy",5e+05
"624","C4",5984.66666666667,"Healthy",250000
"625","C5",3897.66666666667,"Healthy",125000
"626","C6",3231.66666666667,"Healthy",62500
"627","C7",2813.66666666667,"Healthy",31250
"628","C8",1973.66666666667,"Healthy",15625
"629","C9",1827.66666666667,"Healthy",7812.5
